id;method;time_ms;time_s;time_str;length_htm;length_qtm;created_at;state_54
3;LBL;107570;;;0;0;2025-09-04 23:44:26.907846+00:00;
4;LBL;121180;;;0;0;2025-09-04 23:44:26.914381+00:00;
5;LBL;108010;;;0;0;2025-09-04 23:44:26.921003+00:00;
6;LBL;77240;;;0;0;2025-09-04 23:44:26.927389+00:00;
7;LBL;121850;;;0;0;2025-09-04 23:44:26.933647+00:00;
8;LBL;104630;;;0;0;2025-09-04 23:44:26.939793+00:00;
9;LBL;100630;;;0;0;2025-09-04 23:44:26.945726+00:00;
10;LBL;88500;;;0;0;2025-09-04 23:44:26.951498+00:00;
11;LBL;92930;;;0;0;2025-09-04 23:44:26.957719+00:00;
12;LBL;117570;;;0;0;2025-09-04 23:44:26.963535+00:00;
13;LBL;95240;;;0;0;2025-09-04 23:44:26.969058+00:00;
14;LBL;81500;;;0;0;2025-09-04 23:44:26.974016+00:00;
15;LBL;94050;;;0;0;2025-09-04 23:44:26.980434+00:00;
16;LBL;99560;;;0;0;2025-09-04 23:44:26.985941+00:00;
17;LBL;72160;;;0;0;2025-09-04 23:44:26.992707+00:00;
18;LBL;121520;;;0;0;2025-09-04 23:44:26.998140+00:00;
19;LBL;75070;;;0;0;2025-09-04 23:44:27.004256+00:00;
20;LBL;89210;;;0;0;2025-09-04 23:44:27.009619+00:00;
21;LBL;75790;;;0;0;2025-09-04 23:44:27.015393+00:00;
22;LBL;90510;;;0;0;2025-09-04 23:44:27.021146+00:00;
23;LBL;86600;;;0;0;2025-09-04 23:44:27.026686+00:00;
24;LBL;92010;;;0;0;2025-09-04 23:44:27.032054+00:00;
25;LBL;63230;;;0;0;2025-09-04 23:44:27.038646+00:00;
26;LBL;83810;;;0;0;2025-09-04 23:44:27.044326+00:00;
27;LBL;109150;;;0;0;2025-09-04 23:44:27.050257+00:00;
28;LBL;101880;;;0;0;2025-09-04 23:44:27.056630+00:00;
29;LBL;81700;;;0;0;2025-09-04 23:44:27.063002+00:00;
30;LBL;96170;;;0;0;2025-09-04 23:44:27.069206+00:00;
31;LBL;114910;;;0;0;2025-09-04 23:44:27.075096+00:00;
32;LBL;106340;;;0;0;2025-09-04 23:44:27.081236+00:00;
33;LBL;99610;;;0;0;2025-09-04 23:44:27.086991+00:00;
34;LBL;74340;;;0;0;2025-09-04 23:44:27.092789+00:00;
